更新时间,#genre#
CCTV12,https://stream1.freetv.fun/cctv12-48.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-49.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-50.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-51.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-52.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-53.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-55.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-58.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-60.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-61.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-62.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-64.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-65.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-66.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-7.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-8.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-9.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-1.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-10.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-13.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-14.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-16.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12-she-hui-yu-fa-6.m3u8$[BD]cctv12-社会与法
CCTV12,https://stream1.freetv.fun/cctv12gao-qing-1.m3u8$[BD]cctv12高清
CCTV12,https://stream1.freetv.fun/ipv6-cctv-12-1.m3u8$[BD]cctv-12
CCTV12,https://stream1.freetv.fun/ipv6-cctv-12-16.m3u8$[BD]cctv-12
CCTV12,https://stream1.freetv.fun/ipv6-cctv-12-2.m3u8$[BD]cctv-12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-13.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-15.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-19.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-25.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-26.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-29.ctv$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-33.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-41.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-5.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-54.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-56.ctv$[BD]cctv12
